Commune,Code Postal,Nombre demande d'emplois 2017,Nombre demande d'emplois 2020,Nombre demande d'emplois 2022
Auneau-Bleury-Saint-Symphorien,28700,506.7,506.7,464.2
Chartres,28000,4511.7,4363.3,3970.8
Châteaudun,28200,1535.0,1380.8,1345.0
Cloyes-les-Trois-Rivières,28220,281.7,416.7,399.2
Dreux,28100,4835.0,4586.7,4411.7
Épernon,28230,500.0,590.8,492.5
Lèves,28300,392.5,376.7,381.7
Lucé,28110,2256.7,2180.8,2005.0
Luisant,28600,510.0,518.3,461.7
Mainvilliers ,28300,1394.2,1333.3,1210.0
Nogent-le-Rotrou,28400,1114.2,1086.7,953.3
Vernouillet ,28500,1726.7,1603.3,1455.0
Communes de moins de 5 000 habitants ou données indisponibles,,20797.5,20264.2,18636.7
Total,,40352.5,39202.5,36184.2